name,posting_cnt,percentage
sql,40,62.50
python,33,51.56
aws,23,35.94
kubernetes,19,29.69
azure,17,26.56
docker,16,25.00
java,15,23.44
microservices,14,21.88
gcp,14,21.88
spark,14,21.88
react,13,20.31
mongodb,11,17.19
kafka,11,17.19
node.js,10,15.63
redis,9,14.06
tableau,9,14.06
airflow,9,14.06
typescript,8,12.50
snowflake,8,12.50
github,7,10.94
postgresql,7,10.94
javascript,6,9.38
databricks,6,9.38
redshift,6,9.38
mysql,6,9.38
machine learning,5,7.81
spring,5,7.81
c++,5,7.81
terraform,5,7.81
power bi,5,7.81
spring boot,4,6.25
pandas,4,6.25
dbt,4,6.25
numpy,4,6.25
vue,4,6.25
scala,4,6.25
graphql,3,4.69
github actions,3,4.69
elasticsearch,3,4.69
fastapi,3,4.69
c#,3,4.69
git,3,4.69
django,3,4.69
flask,2,3.13
rest api,2,3.13
angular,2,3.13
linux,2,3.13
tensorflow,2,3.13
php,2,3.13
pytorch,2,3.13
rust,1,1.56
bash,1,1.56
deep learning,1,1.56
