role,skill,skill_count,percentage,skill_rank
Analytics Engineer,scala,1,100.00,1
Analytics Engineer,dbt,1,100.00,1
Analytics Engineer,airflow,1,100.00,1
Analytics Engineer,tableau,1,100.00,1
Analytics Engineer,spark,1,100.00,1
Analytics Engineer,snowflake,1,100.00,1
Analytics Engineer,python,1,100.00,1
Analytics Engineer,sql,1,100.00,1
Analytics Engineer,redshift,1,100.00,1
Analytics Engineer,databricks,1,100.00,1
Backend Engineer,java,5,62.50,1
Backend Engineer,kubernetes,5,62.50,1
Backend Engineer,docker,5,62.50,1
Backend Engineer,microservices,4,50.00,4
Backend Engineer,mongodb,4,50.00,4
Backend Engineer,spring,4,50.00,4
Backend Engineer,node.js,3,37.50,7
Backend Engineer,postgresql,3,37.50,7
Backend Engineer,redis,3,37.50,7
Backend Engineer,vue,3,37.50,7
Backend Engineer,spring boot,3,37.50,7
Backend Engineer,typescript,3,37.50,7
Backend Engineer,react,2,25.00,13
Backend Engineer,kafka,2,25.00,13
Backend Engineer,github,2,25.00,13
Backend Engineer,aws,2,25.00,13
Backend Engineer,gcp,2,25.00,13
Backend Engineer,angular,1,12.50,18
Backend Engineer,rest api,1,12.50,18
Backend Engineer,github actions,1,12.50,18
Backend Engineer,git,1,12.50,18
Backend Engineer,elasticsearch,1,12.50,18
Data Analyst,sql,7,87.50,1
Data Analyst,power bi,4,50.00,2
Data Analyst,tableau,4,50.00,2
Data Analyst,python,3,37.50,4
Data Analyst,snowflake,2,25.00,5
Data Analyst,redshift,2,25.00,5
Data Analyst,databricks,1,12.50,7
Data Analyst,aws,1,12.50,7
Data Analyst,azure,1,12.50,7
Data Analyst,flask,1,12.50,7
Data Analyst,gcp,1,12.50,7
Data Analyst,fastapi,1,12.50,7
Data Analyst,pandas,1,12.50,7
Data Analyst,numpy,1,12.50,7
Data Engineer,sql,12,100.00,1
Data Engineer,python,10,83.33,2
Data Engineer,airflow,6,50.00,3
Data Engineer,aws,6,50.00,3
Data Engineer,azure,5,41.67,5
Data Engineer,spark,5,41.67,5
Data Engineer,gcp,5,41.67,5
Data Engineer,snowflake,4,33.33,8
Data Engineer,kafka,4,33.33,8
Data Engineer,tableau,4,33.33,8
Data Engineer,databricks,3,25.00,11
Data Engineer,scala,3,25.00,11
Data Engineer,java,3,25.00,11
Data Engineer,redshift,3,25.00,11
Data Engineer,mysql,3,25.00,11
Data Engineer,terraform,2,16.67,16
Data Engineer,dbt,2,16.67,16
Data Engineer,mongodb,2,16.67,16
Data Engineer,machine learning,1,8.33,19
Data Engineer,postgresql,1,8.33,19
Data Engineer,pandas,1,8.33,19
Data Engineer,power bi,1,8.33,19
Data Engineer,redis,1,8.33,19
Data Engineer,numpy,1,8.33,19
Data Engineer,github,1,8.33,19
Data Engineer,php,1,8.33,19
Data Scientist,python,4,100.00,1
Data Scientist,machine learning,3,75.00,2
Data Scientist,aws,3,75.00,2
Data Scientist,sql,3,75.00,2
Data Scientist,azure,3,75.00,2
Data Scientist,spark,2,50.00,6
Data Scientist,numpy,2,50.00,6
Data Scientist,pandas,2,50.00,6
Data Scientist,django,1,25.00,9
Data Scientist,tensorflow,1,25.00,9
Data Scientist,docker,1,25.00,9
Data Scientist,pytorch,1,25.00,9
Data Scientist,databricks,1,25.00,9
Data Scientist,deep learning,1,25.00,9
Data Scientist,fastapi,1,25.00,9
Data Scientist,gcp,1,25.00,9
Data Scientist,flask,1,25.00,9
Software Engineer,sql,17,54.84,1
Software Engineer,python,15,48.39,2
Software Engineer,kubernetes,14,45.16,3
Software Engineer,react,11,35.48,4
Software Engineer,aws,11,35.48,4
Software Engineer,docker,10,32.26,6
Software Engineer,microservices,10,32.26,6
Software Engineer,azure,8,25.81,8
Software Engineer,node.js,7,22.58,9
Software Engineer,java,7,22.58,9
Software Engineer,spark,6,19.35,11
Software Engineer,javascript,6,19.35,11
Software Engineer,gcp,5,16.13,13
Software Engineer,redis,5,16.13,13
Software Engineer,c++,5,16.13,13
Software Engineer,mongodb,5,16.13,13
Software Engineer,typescript,5,16.13,13
Software Engineer,kafka,5,16.13,13
Software Engineer,github,4,12.90,19
Software Engineer,terraform,3,9.68,20
Software Engineer,graphql,3,9.68,20
Software Engineer,mysql,3,9.68,20
Software Engineer,c#,3,9.68,20
Software Engineer,postgresql,3,9.68,20
Software Engineer,django,2,6.45,25
Software Engineer,git,2,6.45,25
Software Engineer,elasticsearch,2,6.45,25
Software Engineer,github actions,2,6.45,25
Software Engineer,linux,2,6.45,25
Software Engineer,airflow,2,6.45,25
Software Engineer,angular,1,3.23,31
Software Engineer,tensorflow,1,3.23,31
Software Engineer,rest api,1,3.23,31
Software Engineer,bash,1,3.23,31
Software Engineer,dbt,1,3.23,31
Software Engineer,snowflake,1,3.23,31
Software Engineer,php,1,3.23,31
Software Engineer,fastapi,1,3.23,31
Software Engineer,spring boot,1,3.23,31
Software Engineer,machine learning,1,3.23,31
Software Engineer,rust,1,3.23,31
Software Engineer,vue,1,3.23,31
Software Engineer,spring,1,3.23,31
Software Engineer,pytorch,1,3.23,31
